CategoryID,CategoryName,Department,ParentCategory
CAT0001,Sports & Outdoors - Audio 1,Audio,Sports & Outdoors
CAT0002,Automotive - Camera 2,Camera,Automotive
CAT0003,Beauty & Personal Care - Storage 3,Storage,Beauty & Personal Care
CAT0004,Sports & Outdoors - Computers 4,Computers,Sports & Outdoors
CAT0005,Automotive - Kids 5,Kids,Automotive
CAT0006,Health - Audio 6,Audio,
CAT0007,Electronics - Footwear 7,Footwear,Electronics
CAT0008,Beauty & Personal Care - Kids 8,Kids,Beauty & Personal Care
CAT0009,Automotive - Camera 9,Camera,Automotive
CAT0010,Clothing - Pets 10,Pets,Clothing
CAT0011,Beauty & Personal Care - Garden 11,Garden,Beauty & Personal Care
CAT0012,Clothing - Kids 12,Kids,Clothing
CAT0013,Books - Pets 13,Pets,Books
CAT0014,Beauty & Personal Care - Audio 14,Audio,Beauty & Personal Care
CAT0015,Home & Kitchen - Storage 15,Storage,Home & Kitchen
CAT0016,Beauty & Personal Care - Lighting 16,Lighting,
CAT0017,Home & Kitchen - Decor 17,Decor,Home & Kitchen
CAT0018,Grocery - Bedding 18,Bedding,Grocery
CAT0019,Health - Wellness 19,Wellness,
CAT0020,Toys & Games - Accessories 20,Accessories,
CAT0021,Books - Pets 21,Pets,
CAT0022,Books - Accessories 22,Accessories,Books
CAT0023,Sports & Outdoors - Lighting 23,Lighting,Sports & Outdoors
CAT0024,Home & Kitchen - Decor 24,Decor,Home & Kitchen
CAT0025,Books - Outdoor 25,Outdoor,
CAT0026,Automotive - Pets 26,Pets,Automotive
CAT0027,Books - Garden 27,Garden,Books
CAT0028,Health - Lighting 28,Lighting,
CAT0029,Clothing - Bedding 29,Bedding,Clothing
CAT0030,Books - Office 30,Office,
CAT0031,Health - Footwear 31,Footwear,Health
CAT0032,Electronics - Wellness 32,Wellness,Electronics
CAT0033,Clothing - Bedding 33,Bedding,
CAT0034,Clothing - Garden 34,Garden,
CAT0035,Books - Audio 35,Audio,Books
CAT0036,Beauty & Personal Care - Garden 36,Garden,Beauty & Personal Care
CAT0037,Automotive - Decor 37,Decor,
CAT0038,Home & Kitchen - Accessories 38,Accessories,
CAT0039,Beauty & Personal Care - Pets 39,Pets,
CAT0040,Toys & Games - Camera 40,Camera,Toys & Games
CAT0041,Clothing - Fitness 41,Fitness,
