OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineNumber,LineTotal
ORDDET000001,ORD00001,PROD00199,3,66.46,0.15,1,169.47
ORDDET000002,ORD00001,PROD00190,1,863.39,0.00,2,863.39
ORDDET000003,ORD00001,PROD00069,2,538.90,0.10,3,970.02
ORDDET000004,ORD00001,PROD00489,1,794.20,0.00,4,794.20
ORDDET000005,ORD00002,PROD00779,2,623.02,0.10,1,1121.44
ORDDET000006,ORD00002,PROD00087,5,574.73,0.00,2,2873.65
ORDDET000007,ORD00002,PROD00589,2,856.54,0.00,3,1713.08
ORDDET000008,ORD00002,PROD00225,3,879.30,0.05,4,2506.00
ORDDET000009,ORD00002,PROD00252,1,652.33,0.00,5,652.33
ORDDET000010,ORD00002,PROD00380,5,52.69,0.00,6,263.45
ORDDET000011,ORD00003,PROD00873,4,1185.26,0.00,1,4741.04
ORDDET000012,ORD00003,PROD00006,5,422.39,0.00,2,2111.95
ORDDET000013,ORD00003,PROD00712,4,1141.46,0.05,3,4337.55
ORDDET000014,ORD00003,PROD00048,1,538.16,0.00,4,538.16
ORDDET000015,ORD00004,PROD00288,4,452.18,0.00,1,1808.72
ORDDET000016,ORD00004,PROD00410,4,935.66,0.05,2,3555.51
ORDDET000017,ORD00004,PROD00114,2,173.00,0.05,3,328.70
ORDDET000018,ORD00004,PROD00946,3,33.93,0.00,4,101.79
ORDDET000019,ORD00005,PROD00539,5,119.11,0.00,1,595.55
ORDDET000020,ORD00005,PROD00731,2,572.18,0.05,2,1087.14
ORDDET000021,ORD00005,PROD00962,2,881.28,0.00,3,1762.56
ORDDET000022,ORD00005,PROD00363,3,477.92,0.05,4,1362.07
ORDDET000023,ORD00005,PROD00011,1,1132.27,0.05,5,1075.66
ORDDET000024,ORD00005,PROD00016,4,1169.01,0.15,6,3974.63
ORDDET000025,ORD00006,PROD00878,1,313.65,0.00,1,313.65
ORDDET000026,ORD00006,PROD00229,2,1139.27,0.05,2,2164.61
ORDDET000027,ORD00007,PROD00013,5,263.28,0.00,1,1316.40
ORDDET000028,ORD00008,PROD00730,4,526.37,0.00,1,2105.48
