OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineNumber,LineTotal
ORDDET000001,ORD00001,PROD00452,2,127.75,0.00,1,255.50
ORDDET000002,ORD00001,PROD00720,1,1182.77,0.05,2,1123.63
ORDDET000003,ORD00001,PROD00576,2,318.61,0.00,3,637.22
ORDDET000004,ORD00001,PROD00488,5,656.15,0.15,4,2788.64
ORDDET000005,ORD00002,PROD00470,5,860.07,0.00,1,4300.35
ORDDET000006,ORD00002,PROD00962,4,329.19,0.00,2,1316.76
ORDDET000007,ORD00002,PROD00722,5,806.88,0.05,3,3832.68
ORDDET000008,ORD00002,PROD00658,5,320.07,0.15,4,1360.30
ORDDET000009,ORD00003,PROD00217,5,945.83,0.00,1,4729.15
ORDDET000010,ORD00004,PROD00701,2,119.25,0.15,1,202.72
ORDDET000011,ORD00004,PROD00613,2,945.69,0.00,2,1891.38
ORDDET000012,ORD00004,PROD00268,4,747.13,0.00,3,2988.52
ORDDET000013,ORD00005,PROD00454,1,1141.35,0.00,1,1141.35
ORDDET000014,ORD00005,PROD00403,5,954.20,0.00,2,4771.00
ORDDET000015,ORD00005,PROD00546,4,723.69,0.10,3,2605.28
ORDDET000016,ORD00005,PROD00022,5,600.48,0.00,4,3002.40
ORDDET000017,ORD00005,PROD00593,1,62.50,0.05,5,59.38
ORDDET000018,ORD00005,PROD00641,4,141.20,0.10,6,508.32
ORDDET000019,ORD00006,PROD00025,1,462.81,0.10,1,416.53
ORDDET000020,ORD00006,PROD00355,3,512.00,0.10,2,1382.40
ORDDET000021,ORD00006,PROD00822,1,460.52,0.00,3,460.52
ORDDET000022,ORD00006,PROD00493,1,771.99,0.00,4,771.99
ORDDET000023,ORD00006,PROD00139,4,215.13,0.00,5,860.52
ORDDET000024,ORD00006,PROD00510,3,1060.16,0.00,6,3180.48
ORDDET000025,ORD00007,PROD00343,2,286.85,0.00,1,573.70
ORDDET000026,ORD00008,PROD00478,5,1073.93,0.00,1,5369.65
ORDDET000027,ORD00008,PROD00348,4,579.45,0.10,2,2086.02
ORDDET000028,ORD00008,PROD00320,2,801.39,0.10,3,1442.50
ORDDET000029,ORD00008,PROD00584,5,13.09,0.05,4,62.18
ORDDET000030,ORD00009,PROD00604,1,252.34,0.10,1,227.11
ORDDET000031,ORD00009,PROD00021,1,959.11,0.05,2,911.15
ORDDET000032,ORD00009,PROD00777,5,1056.14,0.00,3,5280.70
ORDDET000033,ORD00010,PROD00421,4,665.15,0.10,1,2394.54
ORDDET000034,ORD00011,PROD00274,1,793.14,0.10,1,713.83
ORDDET000035,ORD00011,PROD00040,2,655.15,0.10,2,1179.27
ORDDET000036,ORD00012,PROD00742,4,635.90,0.10,1,2289.24
ORDDET000037,ORD00012,PROD00824,1,472.52,0.00,2,472.52
ORDDET000038,ORD00012,PROD00115,5,36.66,0.00,3,183.30
ORDDET000039,ORD00012,PROD00991,1,1057.99,0.00,4,1057.99
ORDDET000040,ORD00012,PROD00594,4,384.11,0.00,5,1536.44
ORDDET000041,ORD00012,PROD00537,4,368.37,0.00,6,1473.48
ORDDET000042,ORD00013,PROD00725,2,725.27,0.00,1,1450.54
ORDDET000043,ORD00013,PROD00512,2,292.32,0.05,2,555.41
ORDDET000044,ORD00014,PROD00359,2,607.23,0.00,1,1214.46
ORDDET000045,ORD00014,PROD00181,4,448.54,0.00,2,1794.16
ORDDET000046,ORD00014,PROD00707,2,1096.66,0.15,3,1864.32
ORDDET000047,ORD00014,PROD00886,5,1061.09,0.10,4,4774.90
ORDDET000048,ORD00014,PROD00817,5,592.19,0.10,5,2664.86
ORDDET000049,ORD00014,PROD00029,4,35.14,0.10,6,126.50
ORDDET000050,ORD00015,PROD00538,1,622.29,0.15,1,528.95
ORDDET000051,ORD00015,PROD00131,2,1082.75,0.00,2,2165.50
