OrderID,CustomerID,OrderDate,ShippedDate,OrderStatus,ShippingMethod,ShippingCity,ShippingCountry,OrderTotal
ORD00001,CUST0637,2024-12-14T08:02:59.439714,2024-12-24T08:02:59.439714,Delivered,Next-Day,Los Angeles,Canada,2797.08
ORD00002,CUST0248,2024-09-17T05:31:05.439714,,Pending,Economy,San Antonio,Australia,9129.95
ORD00003,CUST0306,2024-12-19T15:29:55.439714,2024-12-28T15:29:55.439714,Delivered,Express,Columbus,USA,11728.70
ORD00004,CUST0218,2023-12-12T03:54:05.439714,2023-12-24T03:54:05.439714,Shipped,Standard,Los Angeles,Canada,5794.72
ORD00005,CUST0684,2025-09-22T21:19:41.439714,2025-10-01T21:19:41.439714,Delivered,Standard,Washington,USA,9857.61
ORD00006,CUST0520,2025-05-06T01:40:37.439714,2025-05-17T01:40:37.439714,Delivered,Standard,San Jose,France,2478.26
ORD00007,CUST0588,2025-02-05T09:34:48.439714,2025-02-07T09:34:48.439714,Delivered,Economy,Dallas,Sweden,1316.40
ORD00008,CUST0827,2025-02-26T00:43:30.439714,2025-03-06T00:43:30.439714,Delivered,Economy,Washington,Sweden,4619.67
ORD00009,CUST0828,2025-04-05T00:48:53.439714,2025-04-19T00:48:53.439714,Delivered,Economy,Chicago,Netherlands,5377.34
ORD00010,CUST0303,2025-05-26T23:18:12.439714,2025-06-05T23:18:12.439714,Delivered,Economy,Denver,Germany,7520.98
ORD00011,CUST0151,2025-08-22T09:43:18.439714,,Processing,Standard,Indianapolis,France,7118.63
ORD00012,CUST0584,2025-10-25T13:17:06.439714,,Cancelled,Express,Philadelphia,Germany,107.60
ORD00013,CUST0111,2023-11-29T11:43:22.439714,2023-12-13T11:43:22.439714,Delivered,Express,San Jose,United Kingdom,5266.28
ORD00014,CUST0795,2025-05-19T06:21:28.439714,2025-05-27T06:21:28.439714,Delivered,Standard,Columbus,Sweden,2431.56
ORD00015,CUST0717,2024-06-01T16:15:35.439714,2024-06-11T16:15:35.439714,Shipped,Economy,Houston,Italy,2531.07
ORD00016,CUST0783,2024-12-29T05:23:19.439714,2024-12-31T05:23:19.439714,Delivered,Express,San Antonio,France,5487.42
ORD00017,CUST0576,2024-06-29T15:41:46.439714,2024-07-09T15:41:46.439714,Delivered,Next-Day,Washington,Australia,8811.68
ORD00018,CUST0666,2023-12-29T07:43:05.439714,,Processing,Standard,San Jose,USA,9743.91
ORD00019,CUST0919,2025-03-10T13:16:46.439714,2025-03-18T13:16:46.439714,Delivered,Standard,Phoenix,Sweden,4627.13
ORD00020,CUST0625,2025-10-16T00:13:32.439714,,Pending,Express,Fort Worth,Sweden,9156.61
ORD00021,CUST0782,2024-12-12T06:50:14.439714,2024-12-22T06:50:14.439714,Delivered,Economy,Dallas,Canada,13021.71
ORD00022,CUST0803,2025-10-09T02:47:34.439714,2025-10-17T02:47:34.439714,Delivered,Next-Day,Columbus,Canada,9047.96
ORD00023,CUST0946,2024-05-20T00:05:44.439714,2024-05-22T00:05:44.439714,Delivered,Economy,Houston,United Kingdom,111.26
ORD00024,CUST0785,2023-09-23T16:14:24.439714,2023-10-07T16:14:24.439714,Shipped,Next-Day,Houston,France,2447.79
ORD00025,CUST0864,2024-01-18T16:21:17.439714,2024-02-01T16:21:17.439714,Shipped,Express,San Diego,Sweden,13369.27
ORD00026,CUST0816,2025-10-28T13:31:01.439714,2025-11-03T13:31:01.439714,Delivered,Next-Day,Los Angeles,USA,7684.07
ORD00027,CUST0853,2024-04-24T20:36:34.439714,2024-05-03T20:36:34.439714,Delivered,Standard,New York,Netherlands,11335.58
ORD00028,CUST0445,2025-02-01T11:24:36.439714,,Pending,Standard,Houston,Spain,11394.48
ORD00029,CUST0516,2024-07-22T15:03:38.439714,,Pending,Express,Washington,Australia,4859.91
ORD00030,CUST0844,2023-01-11T13:05:48.439714,2023-01-13T13:05:48.439714,Delivered,Economy,Indianapolis,USA,8385.77
ORD00031,CUST0627,2025-09-20T11:10:50.439714,,Pending,Standard,Austin,USA,1682.13
