OrderID,CustomerID,OrderDate,ShippedDate,OrderStatus,ShippingMethod,ShippingCity,ShippingCountry,OrderTotal
ORD00001,CUST0734,2025-11-07T20:48:32.340Z,2025-11-21T20:48:32.340Z,Delivered,Express,San Francisco,Spain,4804.99
ORD00002,CUST0442,2025-08-13T18:52:46.524Z,2025-08-21T18:52:46.524Z,Shipped,Express,Denver,Sweden,10810.09
ORD00003,CUST0755,2024-04-11T15:43:38.979Z,2024-04-23T15:43:38.979Z,Shipped,Next-Day,Charlotte,Spain,4729.15
ORD00004,CUST0631,2024-11-07T13:26:46.893Z,,Pending,Economy,Fort Worth,Germany,5082.63
ORD00005,CUST0928,2024-11-19T06:34:58.316Z,2024-11-30T06:34:58.316Z,Shipped,Standard,Los Angeles,Canada,12087.73
ORD00006,CUST0353,2023-10-21T03:29:25.939Z,2023-10-27T03:29:25.939Z,Shipped,Express,San Diego,Italy,7072.44
ORD00007,CUST0777,2025-10-19T09:56:57.142Z,2025-10-25T09:56:57.142Z,Shipped,Economy,San Francisco,Canada,573.70
ORD00008,CUST1000,2024-04-21T03:37:35.158Z,,Pending,Express,Phoenix,Sweden,8960.35
ORD00009,CUST0271,2024-09-04T03:36:59.849Z,2024-09-07T03:36:59.849Z,Shipped,Economy,San Diego,Italy,6418.96
ORD00010,CUST0001,2025-03-05T21:03:31.134Z,2025-03-19T21:03:31.134Z,Delivered,Express,San Diego,Sweden,2394.54
ORD00011,CUST0482,2025-11-04T01:29:11.007Z,,Pending,Express,Washington,Spain,1893.10
ORD00012,CUST0507,2023-04-16T14:10:27.019Z,,Cancelled,Standard,Philadelphia,France,7012.97
ORD00013,CUST0466,2025-06-28T00:55:53.598Z,2025-07-07T00:55:53.598Z,Delivered,Next-Day,San Diego,Australia,2005.95
ORD00014,CUST0131,2025-02-14T23:03:27.782Z,2025-02-26T23:03:27.782Z,Delivered,Express,Charlotte,Italy,12439.21
ORD00015,CUST0744,2025-11-07T03:59:17.940Z,,Processing,Express,Charlotte,Germany,14677.54
ORD00016,CUST0060,2025-05-01T23:54:34.286Z,2025-05-13T23:54:34.286Z,Delivered,Standard,Houston,Italy,6034.25
ORD00017,CUST0603,2025-02-27T14:29:28.746Z,2025-03-09T14:29:28.746Z,Shipped,Standard,New York,Sweden,13367.29
ORD00018,CUST0365,2024-06-17T19:11:55.912Z,2024-06-28T19:11:55.912Z,Delivered,Economy,Washington,USA,6533.65
ORD00019,CUST0151,2025-09-20T03:42:17.144Z,2025-09-28T03:42:17.144Z,Delivered,Express,San Diego,Canada,3393.79
ORD00020,CUST0485,2025-05-08T17:08:59.318Z,2025-05-15T17:08:59.318Z,Delivered,Economy,Washington,Sweden,6207.58
ORD00021,CUST0469,2024-07-23T08:28:28.391Z,2024-08-03T08:28:28.391Z,Delivered,Economy,Columbus,Spain,3488.48
ORD00022,CUST0733,2025-03-06T05:16:57.998Z,2025-03-14T05:16:57.998Z,Shipped,Economy,Washington,Sweden,2307.14
ORD00023,CUST0738,2024-06-02T09:34:26.194Z,2024-06-07T09:34:26.194Z,Shipped,Economy,Austin,Italy,5915.00
ORD00024,CUST0350,2025-06-14T05:41:35.861Z,2025-06-18T05:41:35.861Z,Delivered,Next-Day,San Jose,USA,4099.30
ORD00025,CUST0193,2025-03-21T22:03:20.740Z,2025-03-28T22:03:20.740Z,Delivered,Next-Day,Los Angeles,Australia,8858.69
ORD00026,CUST0263,2025-11-07T00:41:28.435Z,2025-11-21T00:41:28.435Z,Shipped,Standard,Austin,Spain,7194.69
ORD00027,CUST0102,2024-06-01T12:25:40.393Z,2024-06-13T12:25:40.393Z,Delivered,Express,Austin,Germany,6973.39
ORD00028,CUST0507,2024-10-21T18:37:22.718Z,2024-11-04T18:37:22.718Z,Shipped,Standard,Austin,Sweden,3817.14
ORD00029,CUST0205,2023-03-08T17:17:53.168Z,,Pending,Next-Day,Denver,Germany,816.63
ORD00030,CUST0203,2024-12-15T14:45:21.184Z,,Pending,Next-Day,Chicago,Italy,9991.16
ORD00031,CUST0465,2025-10-28T01:13:37.227Z,2025-11-08T01:13:37.227Z,Shipped,Express,San Francisco,Canada,898.40
ORD00032,CUST0403,2025-09-20T22:59:21.192Z,2025-09-24T22:59:21.192Z,Shipped,Express,Jacksonville,United Kingdom,6044.67
ORD00033,CUST0814,2025-04-12T21:05:29.503Z,2025-04-20T21:05:29.503Z,Shipped,Economy,Dallas,Italy,11391.66
ORD00034,CUST0060,2025-02-08T09:55:24.395Z,2025-02-20T09:55:24.395Z,Delivered,Express,Columbus,USA,10458.64
ORD00035,CUST0075,2025-06-15T04:52:07.583Z,2025-06-19T04:52:07.583Z,Delivered,Express,Austin,Netherlands,7576.13
ORD00036,CUST0876,2025-09-28T08:50:19.441Z,2025-10-11T08:50:19.441Z,Delivered,Next-Day,Los Angeles,Netherlands,5917.53
ORD00037,CUST0080,2024-05-17T00:36:40.792Z,2024-05-21T00:36:40.792Z,Delivered,Next-Day,Fort Worth,USA,4508.37
ORD00038,CUST0240,2024-07-20T02:55:14.446Z,2024-07-24T02:55:14.446Z,Delivered,Next-Day,Phoenix,United Kingdom,3744.65
ORD00039,CUST0896,2025-04-11T13:32:53.755Z,2025-04-22T13:32:53.755Z,Shipped,Next-Day,San Diego,USA,668.84
ORD00040,CUST0057,2025-02-26T06:01:52.595Z,,Cancelled,Economy,Washington,Canada,7110.16
ORD00041,CUST0412,2024-11-29T08:44:59.869Z,2024-12-12T08:44:59.869Z,Shipped,Next-Day,San Antonio,France,3261.03
ORD00042,CUST0282,2025-10-07T06:51:17.550Z,2025-10-19T06:51:17.550Z,Delivered,Express,Philadelphia,Netherlands,5169.90
ORD00043,CUST0432,2024-12-31T00:12:25.185Z,2025-01-10T00:12:25.185Z,Delivered,Standard,Jacksonville,United Kingdom,2849.66
ORD00044,CUST0935,2025-05-14T23:56:39.888Z,,Pending,Economy,Houston,Italy,460.49
ORD00045,CUST0375,2025-09-16T15:02:31.437Z,2025-09-29T15:02:31.437Z,Shipped,Next-Day,Washington,United Kingdom,16606.10
ORD00046,CUST0110,2025-03-13T21:47:11.430Z,2025-03-21T21:47:11.430Z,Shipped,Express,Seattle,Canada,708.62
ORD00047,CUST0084,2023-10-08T17:44:28.843Z,2023-10-14T17:44:28.843Z,Shipped,Standard,Denver,Spain,2327.36
ORD00048,CUST0817,2024-12-28T13:46:03.857Z,2025-01-07T13:46:03.857Z,Shipped,Standard,San Jose,Netherlands,1874.73
ORD00049,CUST0899,2025-09-13T11:58:13.178Z,2025-09-24T11:58:13.178Z,Shipped,Standard,Indianapolis,France,4882.67
ORD00050,CUST0079,2025-04-06T05:42:13.218Z,2025-04-12T05:42:13.218Z,Delivered,Standard,Fort Worth,United Kingdom,5396.89
ORD00051,CUST0758,2025-08-09T08:02:19.154Z,2025-08-18T08:02:19.154Z,Delivered,Economy,Austin,Italy,7020.00
ORD00052,CUST0766,2024-08-03T07:23:13.713Z,,Processing,Next-Day,San Diego,Sweden,13203.49
ORD00053,CUST0329,2024-08-09T22:28:21.539Z,2024-08-22T22:28:21.539Z,Shipped,Standard,Fort Worth,Italy,2882.89
ORD00054,CUST0400,2024-12-14T06:17:25.956Z,,Processing,Next-Day,New York,United Kingdom,2431.21
ORD00055,CUST0236,2025-09-13T08:38:34.801Z,2025-09-20T08:38:34.801Z,Shipped,Standard,San Antonio,Germany,11440.69
ORD00056,CUST0513,2023-12-05T22:12:00.854Z,,Pending,Express,Houston,USA,11949.75
ORD00057,CUST0999,2025-04-11T08:14:27.765Z,2025-04-16T08:14:27.765Z,Delivered,Next-Day,San Antonio,Sweden,5701.01
ORD00058,CUST0362,2023-05-21T02:07:51.002Z,2023-05-23T02:07:51.002Z,Shipped,Express,Jacksonville,USA,2410.95
ORD00059,CUST0876,2025-07-01T07:51:19.540Z,2025-07-14T07:51:19.540Z,Delivered,Standard,Phoenix,Spain,3197.27
ORD00060,CUST0464,2025-08-08T19:58:09.212Z,,Processing,Standard,Dallas,United Kingdom,507.74
ORD00061,CUST0428,2025-05-04T03:53:31.408Z,2025-05-12T03:53:31.408Z,Shipped,Express,San Francisco,Canada,2156.53
ORD00062,CUST0294,2024-06-17T10:58:19.298Z,,Processing,Economy,Fort Worth,United Kingdom,4007.91
ORD00063,CUST0101,2025-03-08T23:14:53.756Z,,Cancelled,Express,Charlotte,United Kingdom,9757.28
ORD00064,CUST0786,2025-08-05T13:33:29.186Z,2025-08-14T13:33:29.186Z,Shipped,Next-Day,San Antonio,Italy,11139.56
ORD00065,CUST0717,2023-10-16T22:45:25.620Z,,Pending,Express,Houston,Australia,7808.76
ORD00066,CUST0773,2025-09-21T03:59:45.100Z,2025-09-29T03:59:45.100Z,Shipped,Standard,Washington,USA,2256.90
ORD00067,CUST0760,2025-06-20T07:23:16.632Z,2025-07-02T07:23:16.632Z,Shipped,Next-Day,Phoenix,Sweden,2355.92
ORD00068,CUST0278,2025-09-17T14:46:15.263Z,,Pending,Express,Charlotte,USA,905.21
ORD00069,CUST0539,2024-03-05T06:59:24.174Z,2024-03-12T06:59:24.174Z,Shipped,Standard,Houston,USA,2725.57
ORD00070,CUST0164,2025-05-13T22:02:29.901Z,2025-05-17T22:02:29.901Z,Delivered,Next-Day,Austin,Australia,5269.58
ORD00071,CUST0845,2024-08-31T00:46:13.856Z,2024-09-11T00:46:13.856Z,Shipped,Economy,Indianapolis,United Kingdom,2888.43
ORD00072,CUST0020,2025-04-22T18:10:36.394Z,2025-05-01T18:10:36.394Z,Shipped,Express,Phoenix,Italy,8440.48
ORD00073,CUST0650,2024-04-18T02:29:37.449Z,,Cancelled,Next-Day,Houston,Italy,4096.91
ORD00074,CUST0876,2025-08-29T09:27:49.467Z,2025-09-01T09:27:49.467Z,Delivered,Standard,San Francisco,France,9258.12
ORD00075,CUST0011,2025-06-18T09:28:16.031Z,2025-06-23T09:28:16.031Z,Shipped,Standard,Columbus,Spain,1462.17
ORD00076,CUST0879,2025-11-03T19:03:40.819Z,,Cancelled,Economy,Austin,United Kingdom,739.14
ORD00077,CUST0942,2023-10-24T09:21:12.092Z,2023-11-06T09:21:12.092Z,Delivered,Next-Day,Seattle,Germany,12968.67
ORD00078,CUST0435,2025-01-02T22:26:30.234Z,,Processing,Express,Fort Worth,Spain,638.91
ORD00079,CUST0128,2025-05-09T05:19:13.930Z,2025-05-21T05:19:13.930Z,Shipped,Economy,Fort Worth,Spain,480.08
ORD00080,CUST0550,2025-10-22T16:07:35.404Z,2025-10-27T16:07:35.404Z,Shipped,Standard,San Antonio,USA,1341.81
ORD00081,CUST0428,2025-09-22T11:52:41.480Z,,Pending,Next-Day,Columbus,Italy,1163.20
ORD00082,CUST0037,2025-05-22T16:44:53.037Z,,Processing,Next-Day,Columbus,United Kingdom,13615.62
ORD00083,CUST0893,2025-09-17T19:47:57.696Z,2025-09-21T19:47:57.696Z,Delivered,Standard,San Diego,Italy,12536.96
ORD00084,CUST0223,2025-10-28T18:42:45.670Z,2025-11-02T18:42:45.670Z,Shipped,Economy,Seattle,Australia,2554.20
ORD00085,CUST0533,2024-09-08T09:41:32.801Z,2024-09-12T09:41:32.801Z,Shipped,Next-Day,Indianapolis,United Kingdom,3368.69
