ProductID,SKU,ProductName,CategoryID,UnitPrice,UnitCost,StockQuantity,Active
PROD00001,SKU-763773,Limited Cookware Set,CAT0904,1079.40,455.78,102,true
PROD00002,SKU-914416,Vintage Tablet,CAT0301,248.38,173.60,162,true
PROD00003,SKU-417088,Deluxe Camera,CAT0534,859.66,557.78,399,true
PROD00004,SKU-704594,Smart Headphones,CAT0259,1107.64,744.94,116,true
PROD00005,SKU-516064,Compact Tablet,CAT0264,650.02,313.93,159,true
PROD00006,SKU-478926,Wireless Desk,CAT1000,931.08,613.09,180,true
PROD00007,SKU-285928,Limited Jacket,CAT0642,564.88,255.62,339,true
PROD00008,SKU-781868,Modern Cookware Set,CAT0368,533.66,371.03,152,true
PROD00009,SKU-838929,Eco Monitor,CAT0260,1165.12,647.63,398,true
PROD00010,SKU-580500,Portable Laptop,CAT0402,148.61,82.62,381,true
PROD00011,SKU-894775,Vintage Yoga Mat,CAT0919,763.98,339.08,271,true
PROD00012,SKU-476258,Portable Camera,CAT0511,73.66,29.48,127,false
PROD00013,SKU-196031,Compact Smartphone,CAT0177,514.00,358.08,268,true
PROD00014,SKU-524157,Ultra Chair,CAT0450,365.37,157.42,308,false
PROD00015,SKU-250480,Eco Desk,CAT0317,610.30,247.80,100,true
PROD00016,SKU-871605,Portable Jacket,CAT0545,1090.71,450.68,16,true
PROD00017,SKU-289716,Ultra Chair,CAT0718,982.18,513.53,402,true
PROD00018,SKU-374928,Portable Desk,CAT0208,520.10,303.02,479,true
PROD00019,SKU-771541,Smart Vacuum,CAT0905,1073.47,743.54,178,true
PROD00020,SKU-161712,Portable Tablet,CAT0765,13.99,7.86,473,false
PROD00021,SKU-823943,Portable Backpack,CAT0021,959.11,386.16,444,true
PROD00022,SKU-774708,Smart Treadmill,CAT0551,600.48,403.93,133,false
PROD00023,SKU-174712,Smart Smartphone,CAT0870,842.02,411.23,33,true
PROD00024,SKU-714106,Vintage Cookware Set,CAT0035,322.65,129.31,266,true
PROD00025,SKU-201658,Deluxe Yoga Mat,CAT0597,462.81,285.05,186,true
PROD00026,SKU-894767,Ultra Smartphone,CAT0001,292.63,194.77,109,true
PROD00027,SKU-170717,Advanced Watch,CAT0556,998.07,411.61,261,true
PROD00028,SKU-157216,Rustic Chair,CAT0274,1114.13,538.22,462,true
PROD00029,SKU-621285,Deluxe Drill,CAT0075,35.14,21.97,285,true
PROD00030,SKU-260000,Compact Watch,CAT0171,128.91,64.82,227,true
PROD00031,SKU-106144,Classic Chair,CAT0506,84.94,37.73,82,true
PROD00032,SKU-722147,Compact Tablet,CAT0992,528.75,221.35,322,true
PROD00033,SKU-589124,Limited Backpack,CAT0794,160.42,83.12,338,true
PROD00034,SKU-872660,Essential Drill,CAT0929,403.33,279.69,470,true
PROD00035,SKU-462724,Vintage Watch,CAT0492,512.08,215.90,339,true
PROD00036,SKU-557845,Classic Desk,CAT0485,267.18,110.56,77,false
PROD00037,SKU-920898,Ultra Coffee Maker,CAT0680,1036.74,441.27,441,true
PROD00038,SKU-424389,Modern Jacket,CAT0351,717.41,388.63,78,true
PROD00039,SKU-181745,Essential Chair,CAT0989,549.42,285.04,260,true
PROD00040,SKU-368912,Ultra Yoga Mat,CAT0627,655.15,444.66,167,true
PROD00041,SKU-865314,Limited Drill,CAT0400,880.25,464.72,312,true
PROD00042,SKU-821024,Modern Mixer,CAT0747,781.08,546.47,480,true
PROD00043,SKU-135184,Advanced Printer,CAT0893,491.94,291.89,331,true
PROD00044,SKU-421018,Portable Printer,CAT0986,18.79,8.77,496,true
PROD00045,SKU-884701,Wireless Cookware Set,CAT0787,402.45,256.99,175,true
PROD00046,SKU-988675,Vintage Jacket,CAT0776,1058.56,715.40,403,true
PROD00047,SKU-695202,Wireless Vacuum,CAT0855,167.05,115.94,164,true
PROD00048,SKU-826218,Portable Yoga Mat,CAT0934,985.31,519.05,47,true
PROD00049,SKU-509691,Portable Cookware Set,CAT0704,1086.81,487.48,313,true
PROD00050,SKU-386837,Advanced Tablet,CAT0297,995.27,476.98,321,true
PROD00051,SKU-526664,Limited Tablet,CAT0890,782.90,351.64,12,true
PROD00052,SKU-781365,Eco Guitar,CAT0380,1023.04,464.04,234,true
PROD00053,SKU-685459,Modern Blender,CAT0328,61.09,39.31,288,true
PROD00054,SKU-542697,Rustic Monitor,CAT0928,690.24,368.19,402,true
PROD00055,SKU-120648,Deluxe Router,CAT0823,1195.48,812.56,20,false
PROD00056,SKU-914046,Vintage Headphones,CAT0051,183.88,110.81,380,true
PROD00057,SKU-166939,Wireless Backpack,CAT0016,225.88,103.61,18,true
PROD00058,SKU-421181,Eco Printer,CAT0874,36.81,25.43,165,true
PROD00059,SKU-280342,Modern Vacuum,CAT0408,340.52,156.97,478,true
PROD00060,SKU-277188,Eco Printer,CAT0715,58.09,33.45,443,true
PROD00061,SKU-969008,Limited Backpack,CAT0403,37.03,19.86,380,true
PROD00062,SKU-378340,Limited Drill,CAT0141,193.12,81.22,395,true
PROD00063,SKU-586462,Rustic Smartphone,CAT0437,18.49,11.06,250,true
